station,college,count
水源,1,27
水源,2,1
水源,3,4
水源,6,1
二活,1,5
二活,2,1
二活,3,3
二活,4,4
二活,5,1
二活,6,5
二活,7,38
二活,9,1
二活,A,5
共同,1,14
共同,2,14
共同,3,12
共同,4,5
共同,5,4
共同,6,11
共同,7,9
共同,9,4
共同,A,6
共同,B,3
男一,1,11
男一,2,8
男一,3,37
男一,4,3
男一,5,11
男一,6,10
男一,7,5
男一,8,1
男一,9,16
男一,A,22
活大,1,15
活大,2,16
活大,3,24
活大,4,4
活大,5,16
活大,6,16
活大,7,9
活大,9,24
活大,A,5
活大,B,2
頤賢,1,10
頤賢,2,1
頤賢,3,121
頤賢,5,1
頤賢,6,1
頤賢,7,2
頤賢,A,11
新生,1,11
新生,2,11
新生,3,18
新生,4,1
新生,5,8
新生,6,12
新生,7,6
新生,9,7
新生,A,3
新生,B,1
普通,1,26
普通,2,10
普通,3,32
普通,4,15
普通,5,19
普通,6,6
普通,7,14
普通,9,4
普通,A,16
大一女,1,12
大一女,2,11
大一女,3,34
大一女,4,3
大一女,5,5
大一女,6,10
大一女,7,14
大一女,9,1
大一女,A,15
大一女,B,1
霖澤,1,1
霖澤,2,2
霖澤,3,11
霖澤,5,1
霖澤,A,110
公衛,2,1
公衛,3,2
公衛,4,1
公衛,6,3
公衛,8,10
公衛,B,1
醫圖,3,1
醫圖,4,34
醫圖,5,2
醫圖,6,1
醫圖,8,1
醫圖,9,1
醫圖,A,1
