station,standing,count
二活,B01,7
二活,B02,25
二活,B03,43
二活,B04,92
二活,B05,19
二活,B99,2
二活,D,1
二活,R,15
公衛,B02,7
公衛,B03,8
公衛,B04,15
公衛,B05,3
公衛,R,10
共同,B00,1
共同,B01,6
共同,B02,26
共同,B03,31
共同,B04,77
共同,B05,81
共同,D,3
共同,R,19
大一女,B01,2
大一女,B02,25
大一女,B03,29
大一女,B04,66
大一女,B05,153
大一女,D,2
大一女,R,22
大一女,T,1
新生,B01,2
新生,B02,14
新生,B03,24
新生,B04,53
新生,B05,80
新生,D,1
新生,R,8
普通,B00,1
普通,B01,5
普通,B02,28
普通,B03,47
普通,B04,113
普通,B05,104
普通,D,4
普通,R,11
水源,B00,1
水源,B01,2
水源,B02,7
水源,B03,9
水源,B04,15
水源,B05,21
水源,D,1
水源,R,6
活大,B00,2
活大,B01,8
活大,B02,71
活大,B03,66
活大,B04,122
活大,B05,83
活大,D,1
活大,R,41
男一,B02,38
男一,B03,50
男一,B04,46
男一,B05,99
男一,D,2
男一,R,8
醫圖,B00,5
醫圖,B01,5
醫圖,B02,62
醫圖,B03,10
醫圖,B04,27
醫圖,B05,4
醫圖,B97,1
醫圖,B99,4
醫圖,D,1
醫圖,R,8
頤賢,B00,1
頤賢,B01,6
頤賢,B02,41
頤賢,B03,93
頤賢,B04,130
頤賢,B05,107
頤賢,B99,1
頤賢,D,3
頤賢,P,1
頤賢,R,83
頤賢,T,1
